Type                                  Module                      Label             Process   
vector<reco::TrackExtra>              "hltIter1Merged"            ""                "HLT"     
vector<reco::TrackExtra>              "hltIter2Merged"            ""                "HLT"     
vector<reco::TrackExtra>              "hltIter3Merged"            ""                "HLT"     
vector<reco::TrackExtra>              "hltIter4Merged"            ""                "HLT"     
vector<reco::TrackExtra>              "hltL2Muons"                ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsIOHit"           ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIHit"           ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIState"         ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2IOHit"   ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2OIHit"   ""                "HLT"     
vector<reco::TrackExtra>              "hltL3TkTracksFromL2OIState"   ""                "HLT"     
vector<reco::TrackExtra>              "hltPixelTracks"            ""                "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsIOHit"           "L2Seeded"        "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIHit"           "L2Seeded"        "HLT"     
vector<reco::TrackExtra>              "hltL3MuonsOIState"         "L2Seeded"        "HLT"     
vector<reco::TrackIPTagInfo>          "hltBLifetimeL25TagInfosbbPhiL1FastJetFastPV"   ""                "HLT"     
vector<reco::TrackIPTagInfo>          "hltBLifetimeL3TagInfosbbPhiL1FastJetFastPV"   ""                "HLT"     
vector<reco::Vertex>                  "hltFastPVPixelVertices"    ""                "HLT"     
vector<reco::Vertex>                  "hltFastPVPixelVertices3D"   ""                "HLT"     
vector<reco::Vertex>                  "hltPixelVertices"          ""                "HLT"     
vector<reco::Vertex>                  "hltPixelVertices3DbbPhi"   ""                "HLT"     
vector<pair<csc::L1Track,MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi> > >    "simCsctfTrackDigis"        ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
trigger::TriggerEventWithRefs         "hltTriggerSummaryRAW"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1DisplacedHT300L1FastJetL25Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1DisplacedHT300L1FastJetL3Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1HighMult70"            ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1HighMult80"            ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1HighMult90"            ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFDisplacedJetsPt50"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFDisplacedJetsPt60ChgFraction10"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet140"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet200"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet260"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet320"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet360"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet40"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet400"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet450"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1PFJet80"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2CaloJetCaloJetSumpt100"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2CaloJetCaloMETdPhi1"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2DisplacedHT300L1FastJetL25Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2DisplacedHT300L1FastJetL3Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2ElectronPFMHTPt108"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2ElectronPFMHTPt80"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2IsoMu20PFMHTPt80"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2IsoMu20PFMHTPt90"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2PFDisplacedJetsPt50"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2PFDisplacedJetsPt60ChgFraction10"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet110L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet20L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet40L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet70L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet20L1FastJetCentralBPH"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet300L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet375L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet40CentralL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet50CentralL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet60L1FastJetCentralBPH"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJetHbb"                ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJetHbbVBF"             ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetime2p5L25FilterHbbVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetime3D1stTrkL25FilterJet20HbbL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetime3D1stTrkL3FilterJet20HbbL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetime6p8L3FilterHbbVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetime7p9L3FilterHbbVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL25FilterbbPhi1B1stTrackL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL25FilterbbPhi1BL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL25FilterbbPhi1stTrackL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL25FilterbbPhiL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterHbbCSV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterbbPhi1BL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterbbPhi1BLooseL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterbbPhiL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterbbPhiLooseL1FastJetFastPV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet110L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet110L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet20L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet20L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet40L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet40L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet70L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet70L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet20L1FastJetL25FilterByDRBPH"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet20L1FastJetMu5L3FilterByDRBPH"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet300L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet300L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet375L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet375L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet60L1FastJetL25FilterByDRBPH"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet60L1FastJetMu5L3FilterByDRBPH"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSV0p6L25FilterHbbVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSV0p8L3FilterHbbVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCaloL1FastJetBTagCSVSortedVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCaloL1FastJetBTagSortedVBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCaloL1FastJetEtaSortedM180VBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCaloL1FastJetEtaSortedM200VBF"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralJet50"           ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralJet65L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralPFJet150"        ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralPFJet40Neutral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralPFJet50Neutral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralPFJet60"         ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralPFJet80"         ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDeDxFilter50DEDX3p6"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDeDxFilter50DEDX3p6Mu"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDeDxFilter60DEDX3p6Mu"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDeDxFilter60DEDX3p7"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDeDxFilter60DEDX3p7Mu"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDeDxFilter70DEDX3p7Mu"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiBJet20CentralL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiBLifetime3D1stTrkL25FilterJet20HbbL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiBLifetime3D1stTrkL3FilterJet20HbbL1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet20MJJ650AllJetsDEta3p5Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet20NoEtaCut"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet30MJJ700AllJetsDEta3p5Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet30NoEtaCut"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet35MJJ650AllJetsDEta3p5Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet35MJJ700AllJetsDEta3p5Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet35MJJ750AllJetsDEta3p5Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet35NoEtaCut"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCenJet80L1FastJet"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralJet15"         ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralJet20L1FastJetCorrected"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet25"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet30"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet30NoPU"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet30ZnunuHbb"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet40Neutral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet50NoPU"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet80NoPU"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLGsfTrkIdVLDEtaDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLGsfTrkIdVLDPhiDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLPixelMatchDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdTPixelMatchDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle40CaloIdLGsfTrkIdVLDEtaDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle40CaloIdLGsfTrkIdVLDPhiDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle40CaloIdLPixelMatchDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle40CaloIdTPixelMatchDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiJet30"                ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiJet30L1FastJet"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiJet75HbbZbb"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiJetBLifetimeL3FilterHbbZbbCSV"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb13Glb8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Glb8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Trk8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb22Trk22DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb22Trk8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb23Glb10DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb23Trk10DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb30Trk10DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb30Trk30DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered17TrkFiltered8"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered22TrkFiltered22"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered22TrkFiltered8"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered23TrkFiltered10"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered30TrkFiltered10"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered30TrkFiltered30"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet40MJJ600VBFLeadingJetsFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet40MJJ800VBFFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet80HbbZbb"        ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet95HbbZbb"        ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve140"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve200"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve260"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve320"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve40"           ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve400"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve450"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve80"           ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFNoPUJet25"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDijet40L1FastJet"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon0PsiPrimeL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon0or33L1Filtered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon0or33L2PreFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon10JpsiL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon11UpsilonL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon30L1Filtered0"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon30L2PreFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon33L1Filtered0"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon33L2PreFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon3p5SameSignL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon5PsiPrimeL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon5UpsilonL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon7PsiPrimeL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon7UpsilonL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon8JpsiL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon8UpsilonL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuonL1Filtered0"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuonL2PreFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedEgammaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedEgammaFilterEBOnly"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedEgammaFilterL1SingleEG24"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedEgammaFilterL1SingleEG24EBOnly"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu3p5LowMass"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu3p5LowMassNonResonant"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu4Jpsi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMuTau2Mu"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet110Eta2p6L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet120Eta2p4L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet145Eta2p4L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet40Eta2p6L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet53Eta1p7L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet70Eta1p7L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet80Eta2p6L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleBJet85Eta1p7L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCentralJet40L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCentralJet65L1FastJet"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleDisplacedMu4L3PreFiltered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleDisplacedMu6L3PreFiltered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG10EtFilter"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG10EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG12ForTripleElectronEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG14EtFilterL1DoubleEG137ORL1DoubleEG155"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG15EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG20EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG27EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG33CaloIdLClusterShapeDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG33CaloIdTClusterShapeDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG33CaloIdTHEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG33EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG33HEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG40CaloIdLClusterShapeDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG40CaloIdTClusterShapeDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG40CaloIdTHEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG40EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG40HEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG48EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG48HEVTDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG4EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG53EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG53HEVTDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG56EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG56HEVTDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG5EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG61EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG61HEVTDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG70EtDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG70HEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG8EtFilter"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG8EtFilterL1DoubleEG6HTT100ORHTT125"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG8EtFilterL1SingleEG7"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG8EtFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEG8ForTripleElectronEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle10CaloIdLClusterShapeFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle10CaloIdLHEFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle10CaloIdLPixelMatchFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle10CaloIdLTrkIdVLDetaFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle10CaloIdLTrkIdVLDphiFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle10CaloIdLTrkIdVLOneOEMinusOneOPFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTTrkIdVLDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTTrkIdVLDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTTrkIdVLOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle14CaloIdTTrkIdVLPMMassFilter8"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLClusterShapeFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLHEFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLPixelMatchFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLTrkIdVLDetaFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLTrkIdVLDphiFilterUnseeded"   ""                "HLT"     
